later_cve,prior_cve,diff_kind,confidence,shared_files,cited_change,later_patch_url,prior_patch_url
CVE-2023-6345,CVE-2023-2136,incomplete_fix_confirmed,0.85,,if (SkToBool(fIndexCount) && fVertexCount > UINT16_MAX - that->fVertexCount) { / if (SkToBool(fIndexCount) && fVertexCount + that->fVertexCount > SkToInt(UINT16_MAX)) {,https://skia.googlesource.com/skia/+/6169a1fabae1743709bc9641ad43fcbb6a4f62e1,https://skia.googlesource.com/skia/+/8a85ab0d96a1128c64fa21133518e835506b3895
CVE-2023-33107,CVE-2020-11261,incomplete_fix_confirmed,0.90,drivers/gpu/msm/kgsl_iommu.c,"/* Make sure size is not zero and we don't wrap around */
	if (end <= gpuaddr)
		return false;",https://git.codelinaro.org/clo/la/kernel/msm-4.19/-/commit/d66b799c804083ea5226cfffac6d6c4e7ad4968b,https://git.codelinaro.org/clo/la/kernel/msm-4.19/-/commit/b8d6a6665e15224b6913c48ac6641d6a9f42db61
CVE-2020-0030,CVE-2019-2215,incomplete_fix_confirmed,0.92,drivers/android/binder.c,"wake_up_poll(&thread->wait, POLLHUP | POLLFREE);",https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/drivers/android/binder.c?h=v4.14.156&id=441b5d10e4602b25ad960d1ca1c6bb77e788c220,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/drivers/android/binder.c?h=linux-4.14.y&id=7a3cee43e935b9d526ad07f20bf005ba7e74d05b
CVE-2019-11707,CVE-2019-9810,one_extends_other,0.78,js/src/jit/AliasAnalysis.cpp|js/src/jit/MIR.h,if (!ins->hasDefaultAliasSet() && !isWhitelisted) {,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721,https://hg.mozilla.org/mozilla-central/rev/229759a67f4f
CVE-2019-17026,CVE-2019-11707,incomplete_fix_confirmed,0.86,js/src/jit/AliasAnalysis.cpp|js/src/jit/MIR.h,if (!mir->hasDefaultAliasSet() && !isWhitelisted) {,https://hg.mozilla.org/mozilla-central/rev/d6e40de88f3defdc12ef27e64ca73e120b1f10e2,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721
CVE-2019-13720,chromium:1019226,one_extends_other,0.86,third_party/blink/renderer/modules/webaudio/convolver_node.cc,BaseAudioContext::GraphAutoLocker context_locker(Context());,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1890711
CVE-2019-13720,chromium:977107,same_root_cause_confirmed,0.80,,if (!IsExecutionContextDestroyed() && Context()) | BaseAudioContext::GraphAutoLocker context_locker(Context());,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1701610
CVE-2020-6427,CVE-2019-13720,same_root_cause_confirmed,0.90,,"PostCrossThreadTask(*task_runner_, FROM_HERE, CrossThreadBindOnce(&IIRFilterHandler::NotifyBadState, AsWeakPtr()));",https://chromium-review.googlesource.com/c/chromium/src/+/2106745,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2020-6428,CVE-2019-13720,same_root_cause_confirmed,0.78,,"  // Break connection first and then remove from the list because that can
  // cause the handler to be deleted.",https://chromium-review.googlesource.com/c/chromium/src/+/2104827,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2020-6429,CVE-2019-13720,same_root_cause_confirmed,0.78,,public base::SupportsWeakPtr<AudioScheduledSourceHandler>,https://chromium-review.googlesource.com/c/chromium/src/+/2106956,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2020-6449,CVE-2019-13720,same_root_cause_confirmed,0.80,,Vector<scoped_refptr<AudioHandler>> finished_source_handlers_;,https://chromium-review.googlesource.com/c/chromium/src/+/2107163,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2020-6451,CVE-2019-13720,same_root_cause_confirmed,0.75,,"From prior patch: ""MutexLocker locker(process_lock_);""; From later patch: ""mutable Mutex automatic_pull_handlers_lock_;""",https://chromium-review.googlesource.com/c/chromium/src/+/2116566,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2020-6450,CVE-2019-13720,same_root_cause_confirmed,0.78,,GetDeferredTaskHandler().ClearContextFromOrphanHandlers();,https://chromium-review.googlesource.com/c/chromium/src/+/2116585,https://chromium-review.googlesource.com/c/chromium/src/+/1888103
CVE-2021-39793,CVE-2021-28664,incomplete_fix_confirmed,0.82,,"FOLL_WRITE | FOLL_FORCE, pages); / write = reg->flags & (KBASE_REG_CPU_WR | KBASE_REG_GPU_WR);",https://android.googlesource.com/kernel/google-modules/gpu/+/5381ff7b4106b277ff207396e293ede2bf959f0c,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/patch/?id=cd5297b0855f
CVE-2021-21206,chromium:1045874,same_root_cause_confirmed,0.80,,ScriptForbiddenScope forbid_script;,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,https://chromium-review.googlesource.com/c/chromium/src/+/2025573
CVE-2021-38000,chromium:1249962,one_extends_other,0.86,base/android/java/src/org/chromium/base/PackageManagerUtils.java|chrome/android/java/src/org/chromium/chrome/browser/DefaultBrowserInfo.java|chrome/android/java/src/org/chromium/chrome/browser/customtabs/CustomTabDelegateFactory.java|chrome/android/javatests/src/org/chromium/chrome/browser/externalnav/UrlOverridingTest.java,public static final Intent BROWSER_INTENT = new Intent(),https://chromium.googlesource.com/chromium/src/+/36aa9d15d1283d8d9758b044b7a9a20349f507de,https://chromium-review.googlesource.com/c/chromium/src/+/3232895
CVE-2021-37975,chromium:1252918,one_extends_other,0.92,src/heap/concurrent-marking.cc|src/heap/concurrent-marking.h|src/heap/incremental-marking.cc|src/heap/mark-compact.cc|src/heap/mark-compact.h,heap()->concurrent_marking()->set_another_ephemeron_iteration(false);,https://chromium.googlesource.com/v8/v8.git/+/1054ee7f349d6be22e9518cf9b794b206d0e5818,https://chromium-review.googlesource.com/c/v8/v8/+/3197714
CVE-2021-37975,chromium:1252878,same_root_cause_confirmed,0.86,,if (objects_processed > 0) another_ephemeron_iteration = true;,https://chromium.googlesource.com/v8/v8.git/+/1054ee7f349d6be22e9518cf9b794b206d0e5818,https://chromium-review.googlesource.com/c/v8/v8/+/3203052
CVE-2021-37975,github:v8/v8@e677a6f6b257,same_root_cause_confirmed,0.86,,} while (!mutator_marking_state_.marking_worklist().IsLocalAndGlobalEmpty() || saved_did_discover_new_ephemeron_pairs);,https://chromium.googlesource.com/v8/v8.git/+/1054ee7f349d6be22e9518cf9b794b206d0e5818,https://github.com/v8/v8/commit/e677a6f6b257
CVE-2021-30551,chromium:619166,same_root_cause_confirmed,0.78,,"Assuming that the callbacks have side effects, we use Object::SetSuperProperty() which works properly regardless on whether the property was present on the receiver or not when storing to the receiver.",https://chromium.googlesource.com/v8/v8/+/f9857fdf743eeb263aec3944259ad811f564291b,https://chromium.googlesource.com/v8/v8/+/2c8ca9ad09281d4138ae363566051e45afd0838c
CVE-2021-30632,chromium:1247763,one_extends_other,0.78,,"Bug: chromium:1228407, chromium:1234764, chromium:1234770, chromium:1247763",https://chromium.googlesource.com/v8/v8/+/6391d7a58d0c58cd5d096d22453b954b3ecc6fec,https://chromium-review.googlesource.com/c/v8/v8/+/3172751
CVE-2021-4102,chromium:1278387,one_extends_other,0.90,src/compiler/simplified-operator-reducer.cc,if (m.IsChangeTaggedSignedToInt32()) {,https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/3335759
CVE-2021-4102,chromium:791245,same_root_cause_confirmed,0.75,,if (m.IsChangeTaggedSignedToInt32()) {,https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/808866
CVE-2021-4102,chromium:1307610,same_root_cause_confirmed,0.80,,"JSRegExp::cast(*recv).set_last_index(*value_as_object, UPDATE_WRITE_BARRIER);",https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/3548819
CVE-2021-4102,chromium:1423610,same_root_cause_confirmed,0.80,,we change the StoreTaggedFieldNoWriteBarrier into a StoreTaggedFieldWithWriteBarrier.,https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/4341659
CVE-2021-4083,CVE-2021-0920,same_root_cause_confirmed,0.90,,"else if (files_lookup_fd_raw(files, fd) != file) {",https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=054aa8d439b9,https://android.googlesource.com/kernel/common/+/cbcf01128d0a92e131bd09f1688fe032480b65ca
CVE-2021-30858,chromium:1032890,same_root_cause_confirmed,0.77,,"return CrossThreadTask([callee = makeRefPtr(&callee), method, arguments = std::make_tuple(crossThreadCopy<Arguments>(arguments)...)]() mutable {",https://github.com/WebKit/WebKit/commit/9dc1355f53270b710accba13b54300cca74136c6,https://chromium-review.googlesource.com/c/chromium/src/+/1983272
CVE-2021-21166,chromium:1174582,one_extends_other,0.82,third_party/blink/renderer/modules/webaudio/script_processor_node.cc,MutexTryLocker try_locker(process_event_lock_);,https://chromium.googlesource.com/chromium/src/+/60987aa224f369fc0ea38c56e498389440921356,https://chromium-review.googlesource.com/c/chromium/src/+/2726911
CVE-2021-21166,chromium:1177465,incomplete_fix_confirmed,0.85,third_party/blink/renderer/modules/webaudio/script_processor_node.cc,MutexTryLocker try_locker(process_event_lock_);,https://chromium.googlesource.com/chromium/src/+/60987aa224f369fc0ea38c56e498389440921356,https://chromium-review.googlesource.com/c/chromium/src/+/2727696
CVE-2019-17026,mozilla:1607443,incomplete_fix_confirmed,0.83,js/src/jit/AliasAnalysis.cpp|js/src/jit/MIR.h,AliasSet getAliasSet() const override {,https://hg.mozilla.org/mozilla-central/rev/d6e40de88f3defdc12ef27e64ca73e120b1f10e2,https://bugzilla.mozilla.org/show_bug.cgi?id=1607443
CVE-2019-17026,CVE-2019-9810,same_root_cause_confirmed,0.83,js/src/jit/AliasAnalysis.cpp|js/src/jit/MIR.h,AliasSet getAliasSet() const override {,https://hg.mozilla.org/mozilla-central/rev/d6e40de88f3defdc12ef27e64ca73e120b1f10e2,https://hg.mozilla.org/mozilla-central/rev/229759a67f4f
CVE-2019-17026,chromium-p0:1820,incomplete_fix_confirmed,0.87,js/src/jit/AliasAnalysis.cpp|js/src/jit/MIR.h,-  AliasSet getAliasSet() const override {,https://hg.mozilla.org/mozilla-central/rev/d6e40de88f3defdc12ef27e64ca73e120b1f10e2,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721
CVE-2020-6572,chromium:1066893,incomplete_fix_confirmed,0.90,media/mojo/services/mojo_audio_decoder_service.cc|media/mojo/services/mojo_audio_decoder_service.h|media/mojo/services/mojo_renderer_service.cc|media/mojo/services/mojo_video_decoder_service.cc|media/mojo/services/mojo_video_decoder_service.h,"NOTREACHED() << ""The caller should not switch CDM"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium-review.googlesource.com/c/chromium/src/+/2133173
CVE-2020-6572,CVE-2019-13695,incomplete_fix_confirmed,0.86,media/mojo/services/mojo_audio_decoder_service.cc|media/mojo/services/mojo_video_decoder_service.cc|media/mojo/services/mojo_renderer_service.cc,"NOTREACHED() << ""The caller should not switch CDM"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium.googlesource.com/chromium/src/+/d496219fd9061eaba1be73be05f8fac1dda86a27
CVE-2020-6572,CVE-2019-5870,same_root_cause_confirmed,0.86,,"CHECK(!has_initialize_been_called_) << ""Initialize should only happen once"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium.googlesource.com/chromium/src/+/b7b305f3389017cc42e2cfac6e7a319f42d5bde3
CVE-2020-6572,chromium:1004730,same_root_cause_confirmed,0.78,,"NOTREACHED() << ""The caller should not switch CDM"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium-review.googlesource.com/c/chromium/src/+/1819624
CVE-2020-6572,chromium:999311,same_root_cause_confirmed,0.78,,"CHECK(!has_initialize_been_called_) << ""Initialize should only happen once"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium-review.googlesource.com/c/chromium/src/+/1779096
CVE-2020-16009,chromium:1143772,one_extends_other,0.88,src/objects/map-updater.cc|src/objects/map.cc|test/cctest/test-field-type-tracking.cc|test/mjsunit/regress/regress-1143772.js,// Try updating the field in-place to a generalized type.,https://chromium.googlesource.com/v8/v8.git/+/3ba21a17ce2f26b015cc29adc473812247472776,https://chromium-review.googlesource.com/c/v8/v8/+/2508225
CVE-2020-15999,chromium-p0:168,incomplete_fix_confirmed,0.88,src/sfnt/pngshim.c|ChangeLog,+      if ( imgHeight > 0x7FFF || imgWidth > 0x7FFF ),https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/src/sfnt/pngshim.c?id=a3bab162b2ae616074c8877a04556932998aeacd,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=54abd22891bd51ef8b533b24df53b3019b5cee81
CVE-2020-6820,mozilla:1507180,same_root_cause_confirmed,0.86,,mStreamControl = nullptr;,https://bugzilla.mozilla.org/show_bug.cgi?id=1626728,https://bugzilla.mozilla.org/show_bug.cgi?id=1507180
CVE-2020-6820,mozilla:1655115,incomplete_fix_confirmed,0.80,dom/cache/StreamList.cpp,mStreamControl = nullptr;,https://bugzilla.mozilla.org/show_bug.cgi?id=1626728,https://bugzilla.mozilla.org/show_bug.cgi?id=1655115
CVE-2020-6820,mozilla:1627892,incomplete_fix_confirmed,0.78,dom/cache/StreamList.cpp,"auto streamControl = mStreamControl;
    mStreamControl = nullptr;",https://bugzilla.mozilla.org/show_bug.cgi?id=1626728,https://bugzilla.mozilla.org/show_bug.cgi?id=1627892
CVE-2020-16010,chromium:1144368,one_extends_other,0.90,ui/gfx/android/java_bitmap.cc,"CHECK_GE(base::checked_cast<size_t>(dst_lock.byte_count()),
           skbitmap->computeByteSize());",https://chromium.googlesource.com/chromium/src.git/+/e598fc599bd920392256d05c61826466c73c8e89,https://chromium-review.googlesource.com/c/chromium/src/+/2513107
CVE-2020-15999,CVE-2014-9665,incomplete_fix_confirmed,0.90,src/sfnt/pngshim.c|ChangeLog,if ( imgHeight > 0x7FFF || imgWidth > 0x7FFF ),https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/src/sfnt/pngshim.c?id=a3bab162b2ae616074c8877a04556932998aeacd,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=54abd22891bd51ef8b533b24df53b3019b5cee81
